[2024-05-19 20:16:00][ Info][Interface]: Init with /data/projects/1v1/environment/feature_process/config.dat.
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : main_job, value : AILab/ai_config/ai_server/pb2struct/hero_main_job.txt
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : ep_type, value : AILab/ai_config/ai_server/pb2struct/hero_ep_type.txt
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : bush_file, value : AILab/ai_config/ai_server/pb2struct/bush.txt
[2024-05-19 20:16:00][Debug][ResourceHelper::ReplaceConfig :]: config file : AILab/ai_config/ai_server/pb2struct/pb2struct_config_server.txt not found in config.ini
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 105, value : tank
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 106, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 107, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 108, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 109, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 110, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 111, value : shooter
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 112, value : shooter
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 113, value : suport
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 114, value : suport
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 115, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 116, value : assassin
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 117, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 118, value : suport
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 119, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 120, value : tank
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 121, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 123, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 124, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 125, value : assassin
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 126, value : tank
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 127, value : wizard
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 128, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 129, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 130, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 530, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 131, value : assassin
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 133, value : shooter
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 134, value : soldier
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 135, value : tank
[2024-05-19 20:16:00][Debug][ResourceHelper :]: para key : 136, value : wizard
